age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,Backgound,randg,ID
27,Private,330466,Bachelors,13,Never-married,Tech-support,Other-relative,Asian-Pac-Islander,Male,0,0,40,United-States,Asian-Pac-Islander Male,{3BD3FD52-8D8B-490C-95DB-0002A8D596B6},16685
40,Private,206049,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,White Male,{BEEC1BF2-8FB0-433C-A847-00035585F89A},20942
44,State-gov,180609,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,White Male,{0A08F68B-94F6-462F-A9C8-0003873F994D},12481
44,Private,206686,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,White Female,{99D7CDD8-B916-4EEA-9BE4-00042156A0F7},2436
65,Local-gov,180869,Some-college,10,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,White Female,{DBAF0BED-72BD-4270-B07E-0005FA0BB17C},17429
58,Private,244605,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,3908,0,40,United-States,White Male,{A1CD1E85-F0E7-4244-A658-0007A4F97D5F},15309
43,Private,102895,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,White Male,{53D27180-10A9-428D-8AAE-000D57B907D8},2754
52,Private,68982,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,White Male,{9423F958-782F-4F4F-BC16-00106A35EB03},28346
58,Local-gov,318537,12th,8,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,White Male,{7BCB7EB0-F38C-475A-9B9A-00158E41F5BC},14643
38,Private,32916,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States,White Male,{C677EC74-A19D-41F4-83F9-0018AAF83DB5},31556
23,Private,133239,Assoc-voc,11,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States,White Female,{771137A6-E246-4117-9896-001F8877116A},2284
42,Self-emp-not-inc,373403,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,White Male,{81EE6230-375B-4877-8D0D-0021A8EA7139},8104
42,Private,85995,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,White Male,{C7C76C13-E621-432C-9764-0022B58D6A4B},7558
19,Private,232392,HS-grad,9,Never-married,Other-service,Other-relative,White,Female,0,0,40,United-States,White Female,{4B509AE3-5BED-41A7-AC52-0022DCE2E416},1662
47,Federal-gov,229646,HS-grad,9,Married-spouse-absent,Adm-clerical,Not-in-family,Black,Female,0,0,40,Puerto-Rico,Black Female,{F10A6A79-A99B-4175-84CA-00246221CB29},14888
20,Self-emp-not-inc,217404,10th,6,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,White Male,{3C69C176-AD63-418D-871F-00279D671528},4636
20,Private,110597,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,30,United-States,White Female,{17F25B80-2A8B-4F24-849E-00288ADC08BF},16631
45,Local-gov,318280,HS-grad,9,Widowed,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,White Male,{7F40F74B-EC00-4F05-8BEF-002924F1FC25},4794
42,Private,111483,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,White Male,{54DC3CB1-A31D-442A-9BD4-002974274D37},30242
27,Private,195678,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,White Male,{D5F8950D-90C3-4C53-BD4F-002A5A9507C1},22968
62,State-gov,199198,Assoc-voc,11,Widowed,Exec-managerial,Unmarried,Black,Female,0,0,40,United-States,Black Female,{D5281CC6-3732-4266-88D1-002BEF314FA0},23128
64,Self-emp-inc,213574,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2635,0,10,United-States,White Male,{530E14E9-0471-47EB-A97A-002CB26E3D34},21414
46,Private,102308,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,56,United-States,White Male,{E1250497-9C6F-469B-814C-002D0CAABD62},12465
53,Private,167651,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,White Male,{44C15485-4081-42A3-BD4F-00302F63DD4D},28996
36,Local-gov,312785,Bachelors,13,Never-married,Prof-specialty,Own-child,Black,Male,0,0,35,United-States,Black Male,{6CDF8CF7-CABB-4694-ABC1-003251BF8AD8},28389
33,Private,212918,Some-college,10,Never-married,Tech-support,Not-in-family,White,Male,0,0,70,United-States,White Male,{60FC6642-AE64-4739-9698-0035175B9B0B},30061
17,Private,206010,12th,8,Never-married,Other-service,Own-child,White,Female,0,0,8,United-States,White Female,{B172492B-F291-4CEE-950B-00360865D008},2909
49,Private,165134,Assoc-voc,11,Never-married,Exec-managerial,Unmarried,White,Female,0,0,35,Columbia,White Female,{97487D39-5070-46F1-8D2D-003A39B31C63},2993
31,Private,340880,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,White Male,{E8837C02-1BA6-45F5-97BD-003EC685527F},24318
53,Private,195813,5th-6th,3,Married-civ-spouse,Craft-repair,Husband,Other,Male,5178,0,40,Puerto-Rico,Other Male,{EA580431-998F-4010-AF97-003F720865B5},11246
